fdc_id,food_code,description,wweia_category_number,wweia_category_description,state_hint,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,atwater_kcal,atwater_ratio,publication_date
2710261,91104100,"Sugar, cinnamon",8802,Sugars and honey,,390,0.28,98.27,0.38,3.7,92.99,2,397.6,1.020,2022-10-28
2710257,91101000,"Sugar, NFS",8802,Sugars and honey,,401,0,99.6,0.32,0,99.8,1,401.3,1.001,2022-10-28
2710259,91101020,"Sugar, white, confectioner's, powdered",8802,Sugars and honey,,389,0,99.77,0,0,97.81,2,399.1,1.026,2022-10-28
2710258,91101010,"Sugar, white, granulated or lump",8802,Sugars and honey,,401,0,99.6,0.32,0,99.8,1,401.3,1.001,2022-10-28
2710804,99997550,"Summer squash, cooked, as ingredient",9999,Not included in a food category,,21,1.31,4.11,0.35,1.2,3.16,6,24.8,1.182,2022-10-28
2709808,75128010,"Summer squash, green, raw",6420,Other vegetables and combinations,raw,17,1.21,3.11,0.32,1,2.5,8,20.2,1.186,2022-10-28
2709996,75233023,"Summer squash, yellow or green, canned, cooked, fat added, NS as to fat type",6420,Other vegetables and combinations,,35,0.6,2.86,2.6,1.3,1.15,312,37.2,1.064,2022-10-28
2709998,75233028,"Summer squash, yellow or green, fresh, cooked with butter or margarine",6420,Other vegetables and combinations,raw,44,1.28,3.99,2.91,1.1,3.08,158,47.3,1.074,2022-10-28
2709997,75233027,"Summer squash, yellow or green, fresh, cooked with oil",6420,Other vegetables and combinations,raw,51,1.26,3.98,3.75,1.1,3.06,138,54.7,1.073,2022-10-28
2709994,75233021,"Summer squash, yellow or green, fresh, cooked, fat added, NS as to fat type",6420,Other vegetables and combinations,raw,47,1.27,3.99,3.33,1.1,3.07,148,51.0,1.085,2022-10-28
